pitch,roll,yaw
-94.61099735217326,-21.26944168184012,-69.6518239125086
-111.40719347357869,-24.637670704838666,-82.70356610109418
-106.38965732050785,-32.27815264118393,-85.62332952479562
-105.14649246489914,-33.90760897030682,-80.51485726849859
-94.22243041722326,-31.97687247518002,-77.74404762676629
-96.61378806984378,-35.32742912407585,-76.18441247345343
-103.36405945251876,-33.57165932848659,-77.52396248194297
-95.58356824753479,-35.8257172818146,-87.86824554435451
-93.42447352274385,-36.64835723975408,-90.5010419077974
-96.17649156777365,-36.193086705533396,-87.69538389406488
-95.84448722292703,-35.532555209701655,-89.24157334210263
-102.11248510385606,-29.853956504571386,-89.34918152558012
-91.26403741021286,-31.23639602113786,-93.74754425587473
-99.3262493718716,-27.30092637423882,-86.79000282808308
-101.06786418243298,-24.717513303451476,-102.45800203757172
-106.37868381300794,-25.078806176594753,-105.79830605151675
-105.28171092394811,-36.104213188217585,-98.83369040268771
-109.25623070609632,-37.5322374344022,-98.96606405284062
-122.31548371200564,-35.360180220548095,-96.47893782680009
-114.73917771744225,-30.309717566840852,-92.62810018014783
-92.77237245251544,-40.46253971878894,-104.93344252047751
-88.44434127033027,-42.49374882852273,-101.2684641187227
-94.3208020913506,-38.64835685457113,-113.11947794780741
-90.04206256091634,-46.745434862378445,-116.43120480231156
-81.28844912461503,-51.5008184936217,-119.48231093787699
-82.92741871472474,-46.69047271226539,-119.86894226516783
-86.67456257190587,-44.88733448105219,-123.01104635537106
-87.27921927626464,-43.95151575102636,-128.91365229995264
-82.65954581555843,-47.673248052477746,-126.23224771063742
-74.96319167178471,-52.30873763119669,-118.05298663017186
-70.50046035355403,-49.53724561565924,-141.78211828596022
-67.88977653578013,-47.51764570314823,-134.77461059253451
-61.510957098283235,-52.10163401460742,-128.13350706457956
-53.96750183094185,-53.7894859984708,-134.82922602967642
-57.18406915091312,-54.63356446288228,-133.81134482304387
-49.62857138578333,-55.62437459451499,-132.30215488047205
-46.09721527313182,-52.878193304449724,-127.41634973164031
-53.63565309836155,-55.63895085179174,-125.43694139575439
-40.239861900495626,-59.32781818381075,-124.8330941311418
-28.93628089206287,-56.66058164317772,-127.00162813296116
-16.721675497134942,-62.662593653206585,-122.4386938968034
-17.9396258536093,-68.15015441033403,-131.12629061777204
-26.593239739595305,-67.33113466303,-129.70212243602575
-31.81059057379499,-75.34737784531988,-135.19004884414858
-47.940039412610695,-72.44284939655579,-134.3885997562788
-56.317733524664675,-65.47265573476805,-134.1239869889683
-18.743933963055447,-67.02179455941727,-129.59764667291543
-23.61247515706382,-64.04410625453478,-119.3283682253467
-1.6588922718986767,-56.644600747317575,-122.9996402965584
11.35211843662993,-61.517821263593966,-141.26503578149894
-0.3758764571754608,-61.292819092424764,-147.5784025111741
4.0878170811893035,-64.00491303952998,-155.59513857213267
-0.628302041701425,-64.44105145532404,-152.9978904287304
0.4211965928044048,-58.92127542939188,-145.49694637296918
33.934686126602756,-64.18389862882167,-150.330073754608
35.55624031710387,-57.400603389388024,-158.7677165536954
20.609283285016307,-50.20363071825203,-152.20116956746566
17.66341354084183,-53.43372381696902,-150.13505520500277
15.594443711857908,-54.76275308879467,-147.92290978833736
10.083417157856399,-42.01121798440527,-142.03392350129934
25.196707744843216,-42.8487974531955,-140.14609981347562
20.88541073257072,-52.96519091372652,-136.39213039640853
29.38214499298214,-59.60899217191371,-132.82710821801243
73.25777800243283,-70.7483087562919,-132.56461356555533
110.27446558581156,-73.75389930015507,-124.52194658154805
107.7063752298181,-92.85762222644003,-132.07596315951648
150.783846212837,-103.53687704205798,-114.09314122526993
139.92737641767448,-84.1274517317589,-105.95726045370007
117.2565284828784,-85.81717226661004,-109.25356732818224
130.83833500954526,-88.07248174308295,-100.40403710249399
111.91686772888801,-91.24825266180268,-85.774924676409
91.2726115157877,-82.1676838688052,-84.57791753231331
92.59960868606437,-73.35911770613363,-82.60381407965691
64.1637384359242,-86.58663307378194,-78.68584111367856
62.63499296467541,-85.62346429872224,-95.06349006718118
65.89730462858643,-89.84926693737081,-81.27524139855586
62.648954975905326,-91.967446147116,-79.3631802589507
69.60022900542576,-95.95174764214383,-84.59744835331732
70.49052075063018,-98.35976765867599,-76.39137572519927
69.01723178626592,-99.23182435685263,-84.26053206409372
68.358055514984,-99.70513092001158,-82.5100873590607
63.98435475549586,-97.05597544738437,-86.44382672609903
58.555433793342566,-94.78635114782634,-85.12069377682688
55.79556477973461,-94.47599534120357,-84.65941438803387
56.81862144782998,-94.08848789263527,-87.1085506217674
55.638792009164604,-97.7344520845476,-83.72681165059828
56.64141259405699,-96.94696506249682,-80.47124478406651
53.98266363034205,-96.02289996347845,-83.59342383137329
49.47915841011472,-94.96294891164794,-84.8341574663801
48.260215433716375,-94.04258627855349,-85.22046257184034
45.557055969124505,-93.02148580218125,-84.69710577179555
