,speed,kmh,yaw,rad,pirad,Fuzzy Value
0,speed,kmh,yaw,rad,pirad,0.0
85,5.74E+00,20.66399918,271.1639741,4.732355569,1.507119608,0.8238095238095238
86,5.06E+00,18.21599979,300.1894569,5.238908497,1.668442197,0.7631700160740807
87,4.57E+00,16.45200062,288.8169296,5.040435072,1.605234099,0.7073230383365754
88,3.96E+00,14.25600014,265.8697726,4.639961127,1.477694627,0.6391839812518483
89,4.33E+00,15.58799973,258.936089,4.518954433,1.439157463,0.6805697251112127
90,3.97E+00,14.2920001,260.9815284,4.554651455,1.450525941,0.6403017183692685
91,3.43E+00,12.34800024,260.0649507,4.538655335,1.445431635,0.5794541000907208
92,4.16E+00,14.97599945,248.8815034,4.343481735,1.383274438,0.6615954064278015
93,4.34E+00,15.62400055,249.58059,4.355682199,1.387159936,0.6816833702305233
94,4.89E+00,17.60399952,246.7582493,4.306426689,1.371473468,0.7434842540976151
95,5.41E+00,19.47599945,249.5783507,4.355643119,1.38714749,0.8053770436091641
96,5.68E+00,20.44799938,241.099088,4.207662967,1.340020053,0.8238095238095238
97,5.70E+00,20.51999931,222.6476349,3.885648079,1.237467541,0.8238095238095238
98,5.30E+00,19.08000069,211.6627189,3.693939248,1.176413773,0.7918213809114838
99,4.83E+00,17.38799973,174.9947274,3.054009204,0.972614396,0.7366296807793914
100,4.22E+00,15.19199924,132.4327453,2.311217195,0.736056432,0.6548232379550818
101,4.24E+00,15.26399918,115.1452033,2.009514892,0.639972895,0.6120297069147811
102,4.27E+00,15.37199993,138.3301549,2.414138829,0.768834022,0.6738847124257581
103,4.60E+00,16.55999966,214.7576017,3.747951164,1.19361502,0.7106797630900157
104,4.06E+00,14.61599979,211.5970028,3.69279237,1.176048525,0.6503709442163297
105,3.97E+00,14.2920001,220.8407355,3.854114058,1.227424859,0.6403017183692685
106,3.29E+00,11.84399986,214.643477,3.745959459,1.192980719,0.563216600817353
107,3.50E+00,12.6,221.436012,3.864502827,1.230733384,0.5874675098749514
108,3.95E+00,14.22000017,220.383763,3.84613897,1.224885022,0.6380663627160376
109,4.45E+00,16.01999931,224.7957549,3.923137084,1.249406715,0.6939328612701867
110,4.58E+00,16.48799973,140.818469,2.457564904,0.782663982,0.682589019506625
111,4.75E+00,17.1,148.7333508,2.595695476,0.82665461,0.7098430078563505
112,4.63E+00,16.66800041,132.325722,2.309349424,0.7354616,0.6532732148359148
113,4.76E+00,17.13600082,129.1092208,2.253215023,0.717584402,0.64215525789128
114,4.98E+00,17.92800007,122.904518,2.144930506,0.683098887,0.6207383933494852
115,5.32E+00,19.15200062,120.5261258,2.103422789,0.669879869,0.6125084488660966
116,5.67E+00,20.41200027,111.3594312,1.943445571,0.61893171,0.5804315799820249
117,5.50E+00,19.8,89.80058493,1.567200435,0.499108419,0.4999999999999999
118,5.86E+00,21.09600048,85.77203232,1.496894107,0.476717868,0.4999999999999999
119,6.11E+00,21.99600048,89.76502729,1.566579883,0.498910791,0.4999999999999999
120,6.21E+00,22.35600014,88.94530771,1.552274131,0.494354819,0.4999999999999999
121,6.25E+00,22.5,85.50709347,1.492270392,0.475245348,0.4999999999999999
122,6.57E+00,23.65200062,81.22155061,1.417479068,0.451426455,0.4999999999999999
123,6.97E+00,25.09199924,84.94191289,1.482406857,0.472104094,0.4999999999999999
124,7.21E+00,25.95600014,79.37424008,1.385239792,0.441159169,0.4999999999999999
125,7.48E+00,26.92800007,68.42439972,1.194143102,0.380300351,0.4999999999999999
126,7.55E+00,27.18000069,64.85732724,1.131890528,0.36047469,0.4999999999999999
127,7.88E+00,28.36800041,63.33132631,1.105258749,0.351993232,0.4999999999999999
128,7.78E+00,28.00800076,58.3493578,1.0183134,0.32430363,0.4999999999999999
129,7.51E+00,27.03600082,54.65073922,0.953765082,0.303746842,0.4999999999999999
130,6.88E+00,24.76800041,56.60761265,0.987916451,0.314623074,0.4999999999999999
131,6.95E+00,25.01999931,53.90657971,0.940778005,0.29961083,0.4999999999999999
132,6.50E+00,23.4,38.34709967,0.669233851,0.2131318,0.4999999999999999
133,6.05E+00,21.78000069,35.73281894,0.623609406,0.198601722,0.4999999999999999
134,5.80E+00,20.88000069,30.01737057,0.523863361,0.166835465,0.4999999999999999
135,5.47E+00,19.69199924,33.00839669,0.576062769,0.183459481,0.5000000000000001
136,5.37E+00,19.33199959,31.13241002,0.543323037,0.173032814,0.4999999999999999
137,4.17E+00,15.01200027,25.05756452,0.437304791,0.139269042,0.49999999999999994
